date,index_code,index_name,close,pe_ttm,pe_static,pb,dividend_yield,bond_yield
2020-04-22,000015,上证红利,2410.4000,6.3300,6.3300,0.7700,8.1991,2.5567
2020-04-23,000015,上证红利,2400.7800,6.2900,6.2800,0.7600,8.2367,2.5227
2020-04-24,000015,上证红利,2382.5900,6.2700,6.2600,0.7600,8.2620,2.5100
2020-04-27,000015,上证红利,2392.8400,6.3400,6.3200,0.7600,8.2116,2.5345
2020-04-28,000015,上证红利,2378.6100,6.3500,6.3100,0.7600,8.2242,2.5254
2020-04-29,000015,上证红利,2414.5500,6.4300,6.4200,0.7600,8.1249,2.5009
2020-04-30,000015,上证红利,2451.3100,6.6500,6.4500,0.7600,8.0762,2.5380
2020-05-06,000015,上证红利,2447.7100,6.5800,6.3900,0.7500,7.8411,2.5809
2020-05-07,000015,上证红利,2453.7200,6.5700,6.3700,0.7500,7.8640,2.6298
2020-05-08,000015,上证红利,2467.1400,6.6000,6.4000,0.7500,7.8183,2.6207
2020-05-11,000015,上证红利,2465.5100,6.6200,6.4200,0.7500,7.8070,2.6698
2020-05-12,000015,上证红利,2451.2000,6.5900,6.4000,0.7500,7.8297,2.6603
2020-05-13,000015,上证红利,2452.4500,6.6000,6.4000,0.7500,7.8297,2.7076
2020-05-14,000015,上证红利,2426.7700,6.5400,6.3500,0.7400,7.8986,2.6989
2020-05-15,000015,上证红利,2419.7800,6.5300,6.3400,0.7400,7.9218,2.6820
2020-05-18,000015,上证红利,2418.3800,6.5400,6.3500,0.7400,7.9102,2.7253
2020-05-19,000015,上证红利,2430.7000,6.5700,6.3800,0.7500,7.8755,2.7272
2020-05-20,000015,上证红利,2413.1200,6.5700,6.3800,0.7500,7.8870,2.6900
2020-05-21,000015,上证红利,2401.4900,6.5500,6.3600,0.7500,7.9218,2.6850
2020-05-22,000015,上证红利,2357.2600,6.4500,6.2600,0.7400,8.0281,2.6176
2020-05-25,000015,上证红利,2367.0300,6.4900,6.3000,0.7400,7.9805,2.6852
2020-05-26,000015,上证红利,2376.3200,6.4900,6.3000,0.7400,7.9805,2.7402
2020-05-27,000015,上证红利,2391.9800,6.5200,6.3300,0.7400,7.9452,2.7527
2020-05-28,000015,上证红利,2387.6300,6.5700,6.3800,0.7500,7.8870,2.7201
2020-05-29,000015,上证红利,2364.2300,6.5100,6.3200,0.7400,7.9687,2.7053
2020-06-01,000015,上证红利,2409.3300,6.5800,6.3800,0.7500,7.8640,2.7253
2020-06-02,000015,上证红利,2422.4600,6.6000,6.4100,0.7500,7.8297,2.7852
2020-06-03,000015,上证红利,2425.4200,6.6200,6.4200,0.7500,7.8183,2.7901
2020-06-04,000015,上证红利,2432.7800,6.5800,6.3900,0.7500,7.8640,2.8301
2020-06-05,000015,上证红利,2413.1200,6.5900,6.4000,0.7500,7.8640,2.8475
2020-06-08,000015,上证红利,2428.4200,6.6100,6.4100,0.7500,7.8297,2.8101
2020-06-09,000015,上证红利,2433.7600,6.6300,6.4400,0.7600,7.7957,2.8031
2020-06-10,000015,上证红利,2417.6400,6.5900,6.4000,0.7500,7.8525,2.8201
2020-06-11,000015,上证红利,2396.4100,6.5400,6.3500,0.7500,7.9218,2.7701
2020-06-12,000015,上证红利,2396.6800,6.5300,6.3400,0.7500,7.9335,2.7451
2020-06-15,000015,上证红利,2368.9100,6.4500,6.2600,0.7400,8.0400,2.7878
2020-06-16,000015,上证红利,2405.4200,6.5100,6.3100,0.7400,7.9569,2.8402
